"year","sofifa_id","short_name","age","dob","height_cm","weight_kg","nationality","club_name","league_name","league_rank","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","player_tags","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB"
2015,156616,"F. Ribéry",31,"1983-04-07",170,72,"France","FC Bayern München","German 1. Bundesliga",1,88,88,33000000,200000,"LM","Right",4,4,5,"High/Medium","#Dribbler, #Acrobat",89,78,85,92,29,62,NA,NA,NA,NA,NA,"","Injury Prone, Flair, Speed Dribbler (AI)",83,79,41,89,81,92,84,81,74,91,91,87,92,89,92,76,51,72,62,73,52,36,83,88,80,NA,25,25,26,15,6,9,7,10,81,81,81,88,84,84,84,88,88,88,88,88,79,79,79,88,65,65,65,65,65,55,46,46,46,55
2015,167397,"Falcao",28,"1986-02-10",177,72,"Colombia","Manchester United","English Premier League",1,88,88,46500000,250000,"ST","Right",4,4,4,"High/Medium","#Aerial Threat",77,86,64,81,40,73,NA,NA,NA,NA,NA,"","Finesse Shot, Power Header",55,91,94,69,90,78,83,71,53,83,80,75,85,89,75,79,93,71,74,77,70,41,92,68,87,NA,25,42,25,10,13,6,9,5,88,88,88,78,85,85,85,78,81,81,81,75,71,71,71,75,60,62,62,62,60,58,57,57,57,58
2015,173731,"G. Bale",24,"1989-07-16",183,74,"Wales","Real Madrid","Spain Primera Division",1,87,91,39000000,200000,"RM, RW","Left",4,3,4,"High/Medium","#Speedster, #Distance Shooter",94,83,83,84,63,81,NA,NA,NA,NA,NA,"","Avoids Using Weaker Foot, Long Shot Taker (AI), Speed Dribbler (AI), Chip Shot (AI)",84,81,74,84,76,87,87,85,80,85,93,95,77,84,65,87,67,90,79,88,77,59,83,79,76,NA,60,65,62,15,15,11,5,6,85,85,85,87,87,87,87,87,86,86,86,87,83,83,83,87,78,77,77,77,78,76,72,72,72,76
2015,188545,"R. Lewandowski",25,"1988-08-21",184,78,"Poland","FC Bayern München","German 1. Bundesliga",1,87,89,44000000,210000,"ST, CF","Right",4,4,4,"High/Medium","#Clinical Finisher",80,84,74,85,39,78,NA,NA,NA,NA,NA,"","Injury Free, Chip Shot (AI)",62,87,83,83,82,84,77,68,65,87,79,81,80,88,81,84,83,75,79,80,80,39,87,78,77,NA,25,42,25,15,6,12,8,10,87,87,87,82,86,86,86,82,86,86,86,81,77,77,77,81,63,67,67,67,63,60,58,58,58,60
2015,121939,"P. Lahm",30,"1983-11-11",170,66,"Germany","FC Bayern München","German 1. Bundesliga",1,87,87,24500000,190000,"CDM, RB, CM","Right",4,3,3,"High/High","#Engine, #Tackling, #Tactician",76,56,84,83,87,67,NA,NA,NA,NA,NA,"","Injury Free, Dives Into Tackles (AI), Leadership, One Club Player",84,47,64,88,66,80,77,59,84,85,77,76,83,92,92,57,72,88,59,65,58,93,69,84,72,NA,87,88,95,11,12,5,14,5,69,69,69,82,74,74,74,82,81,81,81,85,86,86,86,85,88,87,87,87,88,87,83,83,83,87
2015,155862,"Sergio Ramos",28,"1986-03-30",183,75,"Spain","Real Madrid","Spain Primera Division",1,87,87,31500000,220000,"CB","Right",4,3,3,"High/Medium","#Tackling, #Tactician",79,61,71,66,87,82,NA,NA,NA,NA,NA,"","Leadership, Power Header",74,59,86,76,55,52,73,64,70,83,79,79,84,82,60,71,91,82,80,55,83,87,52,63,68,NA,85,89,90,11,8,9,7,11,70,70,70,72,69,69,69,72,70,70,70,73,74,74,74,73,83,82,82,82,83,86,87,87,87,86
2015,164240,"Thiago Silva",29,"1984-09-22",183,79,"Brazil","Paris Saint-Germain","French Ligue 1",1,87,87,29000000,190000,"CB","Right",4,3,3,"Medium/High","#Tackling, #Tactician",78,57,72,72,90,80,NA,NA,NA,NA,NA,"","Leadership, Long Passer (AI), Power Header",60,38,81,75,63,68,61,73,81,78,75,80,75,83,68,78,90,80,81,71,76,91,59,74,71,NA,90,91,89,9,12,5,9,10,69,69,69,72,71,71,71,72,73,73,73,75,79,79,79,75,83,84,84,84,83,85,87,87,87,85
2015,168542,"David Silva",28,"1986-01-08",170,67,"Spain","Manchester City","English Premier League",1,87,87,36500000,220000,"LM, CAM","Left",4,2,4,"High/Low","#Dribbler, #Playmaker, #Acrobat",76,77,86,89,33,57,NA,NA,NA,NA,NA,"","Avoids Using Weaker Foot, Flair, Playmaker (AI)",82,76,58,89,80,87,83,77,85,91,83,71,93,85,88,76,66,68,53,80,51,41,84,90,77,NA,23,30,29,13,9,13,9,13,80,80,80,87,84,84,84,87,87,87,87,87,81,81,81,87,65,66,66,66,65,56,49,49,49,56
2015,177003,"L. Modrić",28,"1985-09-09",174,65,"Croatia","Real Madrid","Spain Primera Division",1,87,87,36500000,220000,"CM, CDM","Right",4,4,4,"High/Medium","#Dribbler, #Playmaker, #Acrobat",76,74,85,89,71,70,NA,NA,NA,NA,NA,"","Long Passer (AI), Playmaker (AI), Technical Dribbler (AI)",78,71,55,88,75,86,82,79,86,92,78,74,93,88,94,72,67,86,66,82,62,73,79,89,80,NA,69,75,73,13,9,7,14,9,78,78,78,86,82,82,82,86,87,87,87,87,87,87,87,87,83,82,82,82,83,78,74,74,74,78
2015,198710,"J. Rodríguez",22,"1991-07-12",180,75,"Colombia","Real Madrid","Spain Primera Division",1,86,92,35000000,190000,"CAM, RW","Left",4,3,4,"Medium/Medium","",79,80,84,85,40,72,NA,NA,NA,NA,NA,"","Diver, Flair, Playmaker (AI), Technical Dribbler (AI)",81,80,68,83,81,86,85,83,84,85,79,79,84,85,74,79,55,73,73,82,74,58,80,87,81,NA,25,36,30,15,15,15,5,14,82,82,82,85,84,84,84,85,86,86,86,85,81,81,81,85,66,70,70,70,66,61,55,55,55,61
